ENTIDAD,MUNICIPIO,PARTIDO,PRESIDENTE_MUNICIPAL,PERIODO_FORMATO_ORIGINAL,Year
BAJA CALIFORNIA,PLAYAS DE ROSARITO,PAN,JOSE ANTONIO MACIAS GARAY,del 01-Dic-2004 al 30-Nov-2007,2005
BAJA CALIFORNIA,PLAYAS DE ROSARITO,PAN,MIRNA CECILIA RINCON VARGAS,del 01-Dic-2016 al 30-Sep-2019,2017
BAJA CALIFORNIA,PLAYAS DE ROSARITO,PAN,SILVANO ABARCA MACKLIS,del 01-Dic-1998 al 30-Nov-2001,1999
BAJA CALIFORNIA,PLAYAS DE ROSARITO,XGR,JAVIER ROBLES AGUIRRE,del 01-Dic-2010 al 30-Nov-2013,2011
BAJA CALIFORNIA,TECATE,AXB,DONALDO EDUARDO PEÑALOSA AVILA,del 01-Dic-2007 al 30-Nov-2010,2008
BAJA CALIFORNIA,TECATE,COAL,NEREIDA FUENTES GONZALEZ,del 01-Dic-2016 al 30-Sep-2019,2017
BAJA CALIFORNIA,TECATE,COALICIoN,JOAQUIN SANDOVAL MILLAN,del 01-Dic-2004 al 30-Nov-2007,2005
BAJA CALIFORNIA,TECATE,MORENA,EDGAR DARIO BENITEZ RUIZ,del 01-Oct-2021 al 30-Sep-2024,2022
BAJA CALIFORNIA,TECATE,MORENA,OLGA ZULEMA ADAMS PEREYRA,del 01-Oct-2019 al 30-Sep-2021,2020
BAJA CALIFORNIA,TECATE,PAN,PABLO CONTRERAS RODRIGUEZ,del 01-Dic-1992 al 30-Nov-1995,1992
BAJA CALIFORNIA,TECATE,PRI,ALFREDO FERREIRO VELAZCO,del 01-Dic-1995 al 30-Nov-1998,1996
BAJA CALIFORNIA,TECATE,PRI,CESAR RAFAEL MORENO GONZALEZ DE CASTILLA,del 01-Dic-2013 al 30-Nov-2016,2014
BAJA CALIFORNIA,TECATE,PRI,CONSTANTINO LEON GUTIERREZ,del 01-Dic-1998 al 30-Nov-2001,1999
BAJA CALIFORNIA,TECATE,PRI,JUAN VARGAS RODRIGUEZ,del 01-Dic-2001 al 30-Nov-2004,2002
BAJA CALIFORNIA,TECATE,XGR,JAVIER IGNACIO URBALEJO CINCO,del 01-Dic-2010 al 30-Nov-2013,2011
BAJA CALIFORNIA,TIJUANA,AXB,JORGE RAMOS HERNANDEZ,del 01-Dic-2007 al 30-Nov-2010,2008
BAJA CALIFORNIA,TIJUANA,COAL,LUIS ARTURO GONZALEZ CRUZ,del 01-Oct-2019 al 30-Sep-2021,2020
BAJA CALIFORNIA,TIJUANA,COAL,MONSERRAT CABALLERO RAMIREZ,del 01-Oct-2021 al 30-Sep-2024,2022
BAJA CALIFORNIA,TIJUANA,COALICIoN,JESUS GONZALEZ REYES,del 01-Dic-2001 al 30-Nov-2004,2002
BAJA CALIFORNIA,TIJUANA,PAN,FRANCISCO ARTURO VEGA DE LAMADRID,del 01-Dic-1998 al 30-Nov-2001,1999
BAJA CALIFORNIA,TIJUANA,PAN,HECTOR GUILLERMO OSUNA JAIME,del 01-Dic-1992 al 30-Nov-1995,1992
BAJA CALIFORNIA,TIJUANA,PAN,JOSE GUADALUPE OSUNA MILLAN,del 01-Dic-1995 al 30-Nov-1998,1996
BAJA CALIFORNIA,TIJUANA,PAN,JUAN MANUEL GASTELUM BUENROSTRO,del 01-Dic-2016 al 05-Abr-2019,2017
BAJA CALIFORNIA,TIJUANA,PRI,JORGE ENRIQUE ASTIAZARAN ORCI,del 01-Dic-2013 al 30-Nov-2016,2014
BAJA CALIFORNIA,TIJUANA,PRI,JORGE HANK RHON,del 01-Dic-2004 al 30-Nov-2007,2005
BAJA CALIFORNIA,TIJUANA,XGR,CARLOS BUSTAMANTE ANCHONDO,del 01-Dic-2010 al 30-Nov-2013,2011
BAJA CALIFORNIA SUR,COMONDU,COAL,FRANCISCO PELAYO COVARRUBIAS,del 27-Sep-2015 al 27-Sep-2018,2016
BAJA CALIFORNIA SUR,COMONDU,COAL,JOSE WALTER VALENZUELA ACOSTA,del 27-Sep-2018 al 27-Sep-2021,2019
BAJA CALIFORNIA SUR,COMONDU,COALICIoN,JAVIER GALLO REYNA,del 30-Abr-2002 al 29-Abr-2005,2003
BAJA CALIFORNIA SUR,COMONDU,COALICIoN,MARCOS ALBERTO COVARRUBIAS VILLASEÑOR,del 30-Abr-2005 al 29-Abr-2008,2006
BAJA CALIFORNIA SUR,COMONDU,CXBDS,JOEL VILLEGAS IBARRA,del 30-Abr-2008 al 29-Abr-2011,2009
BAJA CALIFORNIA SUR,COMONDU,JHHEBCS,ILIANA GUADALUPE TALAMANTES HIGUERA,del 25-Sep-2021 al 24-Sep-2024,2022
BAJA CALIFORNIA SUR,COMONDU,PAN,ALFREDO MARTINEZ CORDOVA,del 30-Abr-1993 al 29-Abr-1996,1993
BAJA CALIFORNIA SUR,COMONDU,PAN,VENUSTIANO PEREZ SANCHEZ,del 30-Abr-2011 al 15-Sep-2015,2012
BAJA CALIFORNIA SUR,COMONDU,PRD-PT,FRANCISCO JAVIER OBREGON ESPINOZA,del 30-Abr-1999 al 29-Abr-2002,2000
BAJA CALIFORNIA SUR,COMONDU,PRI,RICARDO GARZA ESPIRITU,del 30-Abr-1996 al 29-Abr-1999,1997
BAJA CALIFORNIA SUR,LA PAZ,CC,ARMANDO MARTINEZ VEGA,del 27-Sep-2015 al 27-Sep-2018,2016
BAJA CALIFORNIA SUR,LA PAZ,COAL,RUBEN GREGORIO MUÑOZ ALVAREZ,del 27-Sep-2018 al 27-Sep-2021,2019
BAJA CALIFORNIA SUR,LA PAZ,COALICIoN,VICTOR MANUEL CASTRO COSIO,del 30-Abr-2005 al 29-Abr-2008,2006
BAJA CALIFORNIA SUR,LA PAZ,COALICIoN,VICTOR MANUEL GULUARTE CASTRO,del 30-Abr-2002 al 29-Abr-2005,2003
